snapshot_date,plan_id,active_users,new_users,churned_users,estimated_rev
2026-02-24,P001,5000,150,45,44500000.0
2026-02-24,P002,1200,30,10,16200000.0
2026-02-24,P003,3500,200,80,15575000.0
2026-02-24,P004,8500,250,100,93415.0
2026-02-24,P005,2100,60,20,35679.0
2026-02-24,P006,4200,180,50,25158.0
2026-02-24,P007,800,15,5,11920000.0
2026-02-24,P008,450,10,2,9405000.0
2026-02-24,P009,3100,80,25,3348000.0
2026-02-24,P011,600,5,1,53400000.0
2026-02-25,P001,5105,160,55,45434500.0
2026-02-25,P002,1220,32,12,16470000.0
2026-02-25,P003,3620,210,90,16109000.0
2026-02-25,P004,8650,270,120,95063.5
2026-02-25,P005,2140,65,25,36358.6
2026-02-25,P006,4330,190,60,25936.7
2026-02-25,P007,810,18,8,12069000.0
2026-02-25,P008,458,12,4,9572200.0
2026-02-25,P009,3155,85,30,3407400.0
2026-02-25,P011,604,6,2,53756000.0
