plan_id,plan_name,billing_cycle,price,max_users,trial_days
P001,Individual_KR_Monthly,MONTHLY,8900.0,1,30
P002,Family_KR_Monthly,MONTHLY,13500.0,6,30
P003,Student_KR_Monthly,MONTHLY,4450.0,1,30
P004,Individual_US_Monthly,MONTHLY,10.99,1,30
P005,Family_US_Monthly,MONTHLY,16.99,6,30
P006,Student_US_Monthly,MONTHLY,5.99,1,30
P007,AppleOne_Individual_KR_Monthly,MONTHLY,14900.0,1,30
P008,AppleOne_Family_KR_Monthly,MONTHLY,20900.0,6,30
P009,Individual_JP_Monthly,MONTHLY,1080.0,1,30
P010,Family_JP_Monthly,MONTHLY,1680.0,6,30
P011,Individual_KR_Yearly,YEARLY,89000.0,1,0
P012,Family_KR_Yearly,YEARLY,135000.0,6,0
P013,Individual_US_Yearly,YEARLY,109.0,1,0
P014,Family_US_Yearly,YEARLY,169.0,6,0
P015,AppleOne_Premier_US_Monthly,MONTHLY,37.95,6,30
P016,Student_JP_Monthly,MONTHLY,580.0,1,30
P017,Individual_UK_Monthly,MONTHLY,10.99,1,30
P018,Family_UK_Monthly,MONTHLY,16.99,6,30
P019,Individual_CA_Monthly,MONTHLY,10.99,1,30
P020,Student_UK_Monthly,MONTHLY,5.99,1,30
