subscription_id,user_id,plan_id,sub_status,start_date,end_date,is_auto_renew
S001,U001,P001,ACTIVE,2025-10-15 10:30:00,2026-03-15 10:30:00,1
S002,U002,P002,ACTIVE,2025-12-22 14:20:00,2026-03-22 14:20:00,1
S003,U003,P004,ACTIVE,2026-01-10 09:15:00,2026-03-10 09:15:00,1
S004,U004,P004,CANCELED,2023-08-05 18:45:00,2023-11-05 18:45:00,0
S005,U005,P003,TRIAL,2026-02-01 11:11:00,2026-03-03 11:11:00,1
S006,U006,P009,ACTIVE,2024-03-12 20:00:00,2026-03-12 20:00:00,1
S007,U007,P001,CANCELED,2023-12-25 08:30:00,2024-06-25 08:30:00,0
S008,U008,P017,ACTIVE,2026-01-20 15:50:00,2026-03-20 15:50:00,1
S009,U009,P007,ACTIVE,2026-01-05 12:00:00,2026-03-05 12:00:00,1
S010,U010,P001,ACTIVE,2024-07-07 07:07:00,2026-03-07 07:07:00,1
S011,U011,P011,ACTIVE,2025-09-18 16:25:00,2026-09-18 16:25:00,1
S012,U012,P015,ACTIVE,2025-11-11 11:11:00,2026-03-11 11:11:00,1
S013,U013,P001,CANCELED,2025-10-30 19:40:00,2026-01-30 19:40:00,0
S014,U014,P005,ACTIVE,2024-04-04 14:44:00,2026-03-04 14:44:00,1
S015,U015,P008,ACTIVE,2025-02-14 09:00:00,2026-03-14 09:00:00,1
S016,U016,P019,CANCELED,2025-08-15 13:15:00,2025-10-15 13:15:00,0
S017,U017,P001,TRIAL,2026-02-10 10:00:00,2026-03-12 10:00:00,1
S018,U018,P001,ACTIVE,2024-06-20 17:30:00,2026-03-20 17:30:00,1
S019,U019,P012,ACTIVE,2025-09-09 09:09:00,2026-09-09 09:09:00,1
S020,U020,P004,ACTIVE,2025-12-01 08:00:00,2026-03-01 08:00:00,0
