track_id,album_id,track_title,duration,genre
T001,AL001,RUDE!,200,K‑Pop
T002,AL002,Delulu,144,K‑Pop
T003,AL002,404 (New Era),180,K‑Pop
T004,AL002,UNDERDOGS,183,K‑Pop
T005,AL002,멍냥,177,K‑Pop
T006,AL002,Dizzy,153,K‑Pop
T007,AL002,To Me From Me,198,K‑Pop
T008,AL003,BANG BANG,177,K‑Pop
T009,AL004,FOCUS,177,K‑Pop
T010,AL004,Apple Pie,186,K‑Pop
T011,AL004,Pretty Please,204,K‑Pop
T012,AL004,Flutter,185,K‑Pop
T013,AL004,Blue Moon,177,K‑Pop
T014,AL005,이상비행,155,Rock
T015,AL005,해초,225,Rock
T016,AL005,화해,221,Rock
T017,AL005,금붕어,112,Rock
T018,AL005,자처,272,Rock
T019,AL005,사랑하게 될 거야,165,Rock
T020,AL006,カムパネルラ,236,J-Pop
T021,AL006,Flamingo,196,J-Pop
T022,AL006,感電,265,J-Pop
T023,AL006,PLACEBO + 野田洋次郎,240,J-Pop
T024,AL006,パプリカ,203,J-Pop
T025,AL006,馬と鹿,265,J-Pop
T026,AL006,優しい人,209,J-Pop
T027,AL006,Lemon,256,J-Pop
T028,AL006,まちがいさがし,267,J-Pop
T029,AL006,ひまわり,242,J-Pop
T030,AL006,迷える羊,227,J-Pop
T031,AL006,Décolleté,210,J-Pop
T032,AL006,TEENAGE RIOT,225,J-Pop
T033,AL006,海の幽霊,236,J-Pop
T034,AL006,カナリヤ,292,J-Pop
T035,AL007,그대 작은 나의 세상이 되어,206,K‑Pop
T036,AL007,파도,222,K‑Pop
T037,AL007,아무렇지 않은 사람,219,K‑Pop
T038,AL007,겨울 (with 오존),175,K‑Pop
T039,AL007,푸른색 유리병,266,K‑Pop
