iter	Passed	Remaining
0	440	43576
1	661	32432
2	798	25812
3	900	21622
4	988	18775
5	1085	16999
6	1250	16617
7	1370	15760
8	1494	15115
9	1601	14416
10	1699	13753
11	1799	13198
12	1892	12663
13	1990	12229
14	2102	11911
15	2209	11598
16	2309	11276
17	2410	10978
18	2511	10708
19	2611	10446
20	2707	10185
21	2798	9922
22	2914	9756
23	3009	9529
24	3119	9357
25	3225	9180
26	3327	8997
27	3440	8848
28	3526	8633
29	3608	8420
30	3685	8203
31	3762	7996
32	3839	7795
33	3915	7601
34	3991	7412
35	4067	7231
36	4142	7053
37	4217	6880
38	4290	6711
39	4365	6548
40	4439	6388
41	4515	6235
42	4590	6084
43	4668	5941
44	4744	5798
45	4825	5664
46	4900	5526
47	4976	5391
48	5056	5263
49	5130	5130
50	5204	4999
51	5276	4870
52	5350	4744
53	5426	4622
54	5505	4504
55	5582	4386
56	5655	4266
57	5730	4149
58	5804	4033
59	5881	3921
60	5956	3808
61	6032	3697
62	6109	3588
63	6184	3479
64	6258	3369
65	6332	3261
66	6408	3156
67	6482	3050
68	6557	2946
69	6632	2842
70	6708	2740
71	6784	2638
72	6863	2538
73	6939	2438
74	7017	2339
75	7090	2239
76	7164	2140
77	7237	2041
78	7309	1943
79	7382	1845
80	7454	1748
81	7528	1652
82	7603	1557
83	7678	1462
84	7751	1367
85	7826	1274
86	7900	1180
87	7976	1087
88	8052	995
89	8125	902
90	8203	811
91	8278	719
92	8354	628
93	8428	537
94	8506	447
95	8578	357
96	8651	267
97	8726	178
98	8799	88
99	8877	0
